Package;File;Feature;Technology;No. indicators found;Indicator Type;Confidence
src.main.java.org.broadleafcommerce.common.util;DialectHelper.java;Persistence Contexts;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util;DialectHelper.java;EntityManager;JPA;13;->;0.902564
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.dao;TypedQueryBuilder.java;EntityManager;JPA;7;->;0.876191
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.dao;DynamicDaoHelperImpl.java;SessionFactory;Hibernate;15;->;0.906667
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
