Package,File,Feature,Technology,Confidence,,
main.java.org.broadleafcommerce.common.persistence,SequenceGeneratorCorruptionDetection.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web.filter,SessionlessHttpServletRequestWrapper.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.sitemap.service,SiteMapServiceImpl.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.site.service,SiteServiceImpl.java,EntityManagerFactory,JPA,0.46666667,N,
main.java.org.broadleafcommerce.common.site.service,SiteServiceImpl.java,EntityManager,JPA,0.46666667,N,
main.java.org.broadleafcommerce.common.cache,StatisticsServiceImpl.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util,StreamCapableTransactionalOperation.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util,StreamCapableTransactionalOperationAdapter.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util,StreamingTransactionCapable.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util,StreamingTransactionCapableUtil.java,EntityManagerFactory,JPA,0.46666667,N,
main.java.org.broadleafcommerce.common.util,StreamingTransactionCapableUtil.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util,TransactionalOperation.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.i18n.domain,TranslationImpl.java,Specifying Primary Tables for Entities,JPA,0.46666667,N,"Hibernate-Table, deprechated feature"
main.java.org.broadleafcommerce.common.util,WorkOnChange.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.config.domain,AbstractModuleConfiguration.java,Specifying IDs for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.config.domain,AbstractModuleConfiguration.java,Mapping Inheritance,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.config.domain,AbstractModuleConfiguration.java,Generation of values for simple identifiers,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.config.domain,AbstractModuleConfiguration.java,Specifying Primary Tables for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.config.domain,AbstractModuleConfiguration.java,Entities,JPA,0.73333335,Y,
