Package,File,Feature,Technology,Confidence,Used
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.actions,EntryCalculateAction.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.actions,EntryRemoveAction.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.employee.client.swt.forms,AbstractEmployableListForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.payroll.client.swt.forms,messages.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.payroll.client.swt.forms,InputWorktimeEditForm.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.payroll.client.swt.forms,EmployeeVacationAverangeEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.payroll.client.swt.forms,messages_ru.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.payroll.client.swt.forms,EmployeeSicklistAverangeEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.payroll.client.swt.actions,PayrollCalculateAction.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.classes.org.plazmaforge.bsolution.project.client.swt.forms,messages_ru.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.classes.org.plazmaforge.bsolution.finance.client.swt.acceptors,messages.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.classes.org.plazmaforge.bsolution.finance.client.swt.acceptors,messages_ru.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.classes.org.plazmaforge.bsolution.payroll.client.swt.forms,messages.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.classes.org.plazmaforge.bsolution.payroll.client.swt.forms,messages_ru.properties,JDBC Work,Hibernate,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm.trigger,SLTrigger.java,EntityManager,JPA,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm.trigger,AbstractTrigger.java,EntityManager,JPA,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm.query,DeleteExecutor.java,EntityManager,JPA,0.46666667,N
